VARIABLE,UNIT
AccumulatedNewCapacity,kt
Activity,kt
AnnualEmissions,kt
AnnualTechnologyEmission,kt
AnnualTechnologyEmissionPenaltyByEmission,kEUR
AnnualTechnologyEmissionsPenalty,kEUR
DiscountedCapitalInvestment,kEUR
DiscountedOperatingCost,kEUR
DiscountedSalvageValue,kEUR
DiscountedTechnologyEmissionsPenalty,kEUR
DiscountedTransportCost,kEUR
DiscountedTransportCostByProduct,kEUR
Export,kt
Import,kt
LocalAccumulatedNewCapacity,kt
LocalActivity,kt
LocalActivityByMode,kt
LocalCapitalInvestment,kEUR
LocalDiscountedCapitalInvestment,kEUR
LocalDiscountedOperatingCost,kEUR
LocalDiscountedTransportCost,kEUR
LocalFixedOperatingCost,kEUR
LocalNewCapacity,kt
LocalOperatingCost,kEUR
LocalProduction,kt
LocalProductionByMode,kt
LocalProductionByTechnology,kt
LocalTechnologyEmission,kt
LocalTechnologyEmissionByMode,kt
LocalTotalCapacity,kt
LocalTransportCost,kEUR
LocalUse,kt
LocalUseByMode,kt
LocalUseByTechnology,kt
LocalVariableOperatingCost,kEUR
ModelPeriodActivity,kt
ModelPeriodCost,kEUR
ModelPeriodCostByRegion,kEUR
ModelPeriodEmissions,kt
NewCapacity,kt
Production,kt
SalvageValue,kEUR
TotalCapacity,kt
TotalDiscountedCost,kEUR
Transport,kt
Use,kt
